,Year,Month,Peak,Gain,%Gain
0,2025,Sep,54821,"-20,315",-27.00%
1,2025,Aug,75136,"-33,399",-30.80%
2,2025,Jul,108535,"70,204",183.20%
3,2025,Jun,38331,"-21,704",-36.20%
4,2025,May,60035,"15,679",35.30%
5,2025,Apr,44356,"-23,727",-34.90%
6,2025,Mar,68083,"-9,316",-12.00%
7,2025,Feb,77399,"40,789",111.40%
8,2025,Jan,36610,"2,662",7.80%
9,2024,Dec,33948,"-19,681",-36.70%
10,2024,Nov,53629,"-35,908",-40.10%
11,2024,Oct,89537,"47,857",114.80%
12,2024,Sep,41680,"-22,299",-34.90%
13,2024,Aug,63979,"-37,471",-36.90%
14,2024,Jul,101450,"-213,184",-67.80%
15,2024,Jun,314634,"192,614",157.90%
16,2024,May,122020,"-12,022",-9.00%
17,2024,Apr,134042,"58,083",76.50%
18,2024,Mar,75959,"29,310",62.80%
19,2024,Feb,46649,"-12,154",-20.70%
20,2024,Jan,58803,"-35,356",-37.50%
21,2023,Dec,94159,"-9,545",-9.20%
22,2023,Nov,103704,"34,270",49.40%
23,2023,Oct,69434,"-72,038",-50.90%
24,2023,Sep,141472,"-4,269",-2.90%
25,2023,Aug,145741,"57,709",65.60%
26,2023,Jul,88032,"-22,221",-20.20%
27,2023,Jun,110253,"-83,242",-43.00%
28,2023,May,193495,"51,307",36.10%
29,2023,Apr,142188,"-112,506",-44.20%
30,2023,Mar,254694,"-62,056",-19.60%
31,2023,Feb,316750,"220,146",227.90%
32,2023,Jan,96604,"-25,675",-21.00%
33,2022,Dec,122279,"61,401",100.90%
34,2022,Nov,60878,"-42,185",-40.90%
35,2022,Oct,103063,"-46,513",-31.10%
36,2022,Sep,149576,"-43,633",-22.60%
37,2022,Aug,193209,"90,134",87.40%
38,2022,Jul,103075,"-15,880",-13.30%
39,2022,Jun,118955,"-61,437",-34.10%
40,2022,May,180392,"92,058",104.20%
41,2022,Apr,88334,"-140,883",-61.50%
42,2022,Mar,229217,"-60,895",-21.00%
43,2022,Feb,290112,"211,245",267.80%
44,2022,Jan,78867,"-76,603",-49.30%
45,2021,Dec,155470,"78,981",103.30%
46,2021,Nov,76489,"-52,143",-40.50%
47,2021,Oct,128632,"-12,572",-8.90%
48,2021,Sep,141204,"-37,037",-20.80%
49,2021,Aug,178241,"61,715",53.00%
50,2021,Jul,116526,"10,529",9.90%
51,2021,Jun,105997,"-81,602",-43.50%
52,2021,May,187599,"92,268",96.80%
53,2021,Apr,95331,"7,839",9.00%
54,2021,Mar,87492,"-44,763",-33.80%
55,2021,Feb,132255,"52,732",66.30%
56,2021,Jan,79523,"-62,144",-43.90%
57,2020,Dec,141667,"-100,617",-41.50%
58,2020,Nov,242284,"147,727",156.20%
59,2020,Oct,94557,"-3,934",-4.00%
60,2020,Sep,98491,"-24,080",-19.60%
61,2020,Aug,122571,-302,-0.20%
62,2020,Jul,122873,"-91,852",-42.80%
63,2020,Jun,214725,"137,753",179.00%
64,2020,May,76972,"-24,417",-24.10%
65,2020,Apr,101389,"-17,727",-14.90%
66,2020,Mar,119116,"26,047",28.00%
67,2020,Feb,93069,"-15,753",-14.50%
68,2020,Jan,108822,"-29,780",-21.50%
69,2019,Dec,138602,"-57,750",-29.40%
70,2019,Nov,196352,"-96,161",-32.90%
71,2019,Oct,292513,"78,413",36.60%
72,2019,Sep,214100,0,0
