Month,PeakBin
Sep,50000-99999
Aug,50000-99999
Jul,100000-149999
Jun,0-49999
May,50000-99999
Apr,0-49999
Mar,50000-99999
Feb,50000-99999
Jan,0-49999
Dec,0-49999
Nov,50000-99999
Oct,50000-99999
Sep,0-49999
Aug,50000-99999
Jul,100000-149999
Jun,300000-349999
May,100000-149999
Apr,100000-149999
Mar,50000-99999
Feb,0-49999
Jan,50000-99999
Dec,50000-99999
Nov,100000-149999
Oct,50000-99999
Sep,100000-149999
Aug,100000-149999
Jul,50000-99999
Jun,100000-149999
May,150000-199999
Apr,100000-149999
Mar,250000-299999
Feb,300000-349999
Jan,50000-99999
Dec,100000-149999
Nov,50000-99999
Oct,100000-149999
Sep,100000-149999
Aug,150000-199999
Jul,100000-149999
Jun,100000-149999
May,150000-199999
Apr,50000-99999
Mar,200000-249999
Feb,250000-299999
Jan,50000-99999
Dec,150000-199999
Nov,50000-99999
Oct,100000-149999
Sep,100000-149999
Aug,150000-199999
Jul,100000-149999
Jun,100000-149999
May,150000-199999
Apr,50000-99999
Mar,50000-99999
Feb,100000-149999
Jan,50000-99999
Dec,100000-149999
Nov,200000-249999
Oct,50000-99999
Sep,50000-99999
Aug,100000-149999
Jul,100000-149999
Jun,200000-249999
May,50000-99999
Apr,100000-149999
Mar,100000-149999
Feb,50000-99999
Jan,100000-149999
Dec,100000-149999
Nov,150000-199999
Oct,250000-299999
