Peak,Gain
54821,-20315
75136,-33399
108535,70204
38331,-21704
60035,15679
44356,-23727
68083,-9316
77399,40789
36610,2662
33948,-19681
53629,-35908
89537,47857
41680,-22299
63979,-37471
101450,-213184
314634,192614
122020,-12022
134042,58083
75959,29310
46649,-12154
58803,-35356
94159,-9545
103704,34270
69434,-72038
141472,-4269
145741,57709
88032,-22221
110253,-83242
193495,51307
142188,-112506
254694,-62056
316750,220146
96604,-25675
122279,61401
60878,-42185
103063,-46513
149576,-43633
193209,90134
103075,-15880
118955,-61437
180392,92058
88334,-140883
229217,-60895
290112,211245
78867,-76603
155470,78981
76489,-52143
128632,-12572
141204,-37037
178241,61715
116526,10529
105997,-81602
187599,92268
95331,7839
87492,-44763
132255,52732
79523,-62144
141667,-100617
242284,147727
94557,-3934
98491,-24080
122571,-302
122873,-91852
214725,137753
76972,-24417
101389,-17727
119116,26047
93069,-15753
108822,-29780
138602,-57750
196352,-96161
292513,78413
